0,One hour with Fetterman and Oz: Key takeaways from their only debate
1,Greenhouses gases in Earth's atmosphere hit record high in 2021
2,Three-quarters of pediatric hospital beds in U.S. are full amid surge of viruses in kids
3,Facebook’s rules ban promoting weapons. Some gun sellers are running ads anyway. 
4,"A sprawling pro-China propaganda campaign is targeting U.S. midterms, researchers warn"
